ID,Country of Origin,Country_clean,Region,Region_clean,Farm Name,Producer,Company,Variety,Variety_clean,Processing Method,Processing_Method_clean,Processing_Method_group,Harvest Year,Harvest_Year_start,Harvest_Year_end,Harvest_Year_display,Altitude_raw,Altitude_pattern,Altitude_clean,Altitude_final,Altitude_flag_low,Altitude_flag_high,Altitude_flag_suspect_feet,Altitude_meters_if_feet,Total Cup Points,Quality_Grade,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Overall,Uniformity,Clean Cup,Sweetness,Moisture Percentage,Category One Defects,Category Two Defects,Quakers,Color
130,Taiwan,Taiwan,苗栗縣,苗栗縣,棒棒有機農場,林木青,Taiwu Coffee Cooperative,unknown,unknown,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1100-1200,range_dash,1150.0,1150.0,False,False,False,,83.25,Good (80-84.99),7.75,7.75,7.58,7.67,7.42,7.5,7.58,10.0,10.0,10.0,9.6,0,1,0,green
131,Colombia,Colombia,Quindio,Quindio,Buenos Aires,Chucho Bedoya,Coffee Quality Union,"Red Bourbon,Caturra","Red Bourbon,Caturra",Anaerobico 1000h,Anaerobico 1000h,Anaerobic / Experimental,2022,2022,2022,2022,1390,single_value,1390.0,1390.0,False,False,False,,83.25,Good (80-84.99),7.67,7.67,7.58,7.67,7.58,7.58,7.5,10.0,10.0,10.0,10.9,0,2,0,brownish
132,Honduras,Honduras,"Marcala, La Paz","Marcala, La Paz",La Bendicion,Joaquin Suazo,Taiwan Coffee Laboratory,Lempira,Lempira,Washed / Wet,Washed / Wet,Washed / Wet Family,2021,2021,2021,2021,1600,single_value,1600.0,1600.0,False,False,False,,83.25,Good (80-84.99),7.67,7.75,7.67,7.58,7.5,7.58,7.5,10.0,10.0,10.0,10.5,0,3,0,bluish-green
133,Honduras,Honduras,Marcala,Marcala,varias,comsa,Cafe Organico Marcala S.A de C.V.,Catuai,Catuai,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1400,single_value,1400.0,1400.0,False,False,False,,83.25,Good (80-84.99),7.75,7.58,7.58,7.58,7.5,7.58,7.67,10.0,10.0,10.0,11.3,0,5,1,green
134,Taiwan,Taiwan,新竹縣,新竹縣,蜜多莊園,張新榮,Taiwu Coffee Cooperative,Typica,Typica,Natural / Dry,Natural / Dry,Natural / Dry Family,2021 / 2022,2021,2022,2022,200-300,range_dash,250.0,250.0,False,False,False,,83.17,Good (80-84.99),7.75,7.75,7.5,7.75,7.5,7.42,7.5,10.0,10.0,10.0,9.7,0,2,0,greenish
135,Taiwan,Taiwan,苗栗縣,苗栗縣,迎曦山丘,翁召安,Taiwu Coffee Cooperative,unknown,unknown,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,340,single_value,340.0,340.0,False,False,False,,83.17,Good (80-84.99),7.67,7.67,7.5,7.58,7.58,7.5,7.67,10.0,10.0,10.0,11.8,0,0,0,blue-green
136,Laos,Laos,"Nongluang Bolaven Plateau, Champasack, Lao PDR","Nongluang Bolaven Plateau, Champasack, Lao PDR",Nongluang Bolaven Plateau,Dao Heuang Group,Dao Heuang Group,Catimor,Catimor,Natural / Dry,Natural / Dry,Natural / Dry Family,2022,2022,2022,2022,1200 - 1300,range_dash,1250.0,1250.0,False,False,False,,83.08,Good (80-84.99),7.67,7.75,7.33,7.67,7.58,7.5,7.58,10.0,10.0,10.0,11.8,0,7,0,brownish
137,Honduras,Honduras,"Centro, Lagunetillas - Ajuterique, Comayagua","Centro, Lagunetillas - Ajuterique, Comayagua",La Cuchilla,Fausto Nahun Maldonado,CIGRAH,Catuai,Catuai,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1368,single_value,1368.0,1368.0,False,False,False,,83.08,Good (80-84.99),7.67,7.67,7.5,7.58,7.58,7.5,7.58,10.0,10.0,10.0,10.6,0,7,2,green
138,Honduras,Honduras,"Los Planes de Santa Maria, La Paz","Los Planes de Santa Maria, La Paz",Bethel,Omar Acosta,CADEXSA,Catuai,Catuai,Washed / Wet,Washed / Wet,Washed / Wet Family,2022 / 2023,2022,2023,2022,1450,single_value,1450.0,1450.0,False,False,False,,83.08,Good (80-84.99),7.75,7.58,7.58,7.58,7.58,7.5,7.5,10.0,10.0,10.0,9.6,0,2,0,green
139,Colombia,Colombia,HUILA,HUILA,EL PRADO,FRANKLIN DUSSAN,carcafe ltda,Caturra,Caturra,Washed / Wet,Washed / Wet,Washed / Wet Family,2022 / 2023,2022,2023,2022,1650,single_value,1650.0,1650.0,False,False,False,,83.0,Good (80-84.99),8.0,7.67,7.42,7.58,7.58,7.42,7.33,10.0,10.0,10.0,13.1,0,1,0,bluish-green
